"","H_0001","H_0002","H_0003","H_0005","H_0006","H_0007","H_0008","H_0009","H_0010","H_0012","H_0013","H_0539","H_0657","H_0658","H_0681","H_0695","H_0700","H_0726","H_0740","H_0750"
"ATF4",10376,6041,14916,7935,7857,4195,10835,6223,4901,9151,6260,10688,10516,7080,8293,5816,4698,8810,6580,12758
"LRP4",2234,6759,5053,6418,2877,3657,8507,7763,2578,6330,1169,2942,8035,6139,7950,9252,5562,3746,6129,6774
"PXDC1",585,775,912,652,938,583,1047,809,232,637,495,543,1296,458,610,1171,560,477,2006,959
"MXI1",3469,5583,6604,7108,4351,3422,7110,4883,3353,5486,4311,4320,7669,5041,7489,6830,4630,4467,5647,9394
"PAPOLA",2487,4419,4666,6020,3460,3684,6375,5892,3674,6400,2684,5574,7777,5438,6800,6301,5848,6687,5521,9851
"GKAP1",663,456,1140,649,590,390,698,415,427,798,365,584,807,508,893,466,431,707,574,1020
"PDE4DIP",4722,10661,9263,9494,5536,5267,11193,10084,5347,4973,4445,7021,10112,12282,5413,10462,9188,7781,6183,10977
"SMAD4",2029,1926,2450,2273,1785,1474,2063,1800,1387,1792,1701,1400,2728,2111,2301,2365,1889,2016,1390,3570
"TSC22D3",6867,3323,7018,4376,5642,2981,8173,3366,2886,5205,5049,4285,8289,4940,4201,6051,5057,4902,2819,39520
"ID3",1151,2003,2386,1149,3050,1839,2906,1490,592,1037,797,1089,1934,665,774,3650,2049,845,1435,7171
"LATS2",60,490,247,236,158,135,414,301,131,248,189,139,393,166,329,676,455,160,415,763
"CARD8",334,1069,529,909,543,726,889,809,357,517,341,730,726,561,887,1832,863,525,880,1058
"BANP",390,358,662,454,618,291,582,422,255,522,340,567,953,337,396,331,358,479,725,892
"TIMELESS",165,384,347,300,218,243,366,241,193,200,139,221,261,335,523,339,253,302,168,430
"SH2D4A",40,54,37,54,83,61,76,56,34,48,39,44,79,48,22,105,62,34,53,182
"CALML4",36,56,53,60,44,51,74,37,35,38,47,50,92,56,74,147,49,19,93,146
"ITGB8",1498,4036,4327,4484,1580,2879,4221,4491,1799,3418,1854,1796,4709,4434,4768,6304,3631,3792,2991,3871
"CDK2AP1",1879,3972,3566,4027,3145,1430,4735,3554,2054,2437,1772,2639,3276,3414,2281,4969,2952,3101,2445,6346
"RBM48",1041,1466,2452,2196,1183,1447,1820,1346,1125,1652,701,1378,2343,2065,3298,940,1624,2283,923,2181
"ITGB5",1091,1412,1365,1329,1762,848,1519,1239,591,835,734,833,1619,935,629,2309,1198,743,1378,2993
"GMPR",763,458,647,811,1212,830,497,314,343,617,456,306,951,445,230,1599,407,225,1424,1194
"RNASEH2C",2480,1383,3218,1968,2660,1212,1854,1541,1010,2060,754,1431,2120,1525,1878,1149,1541,1514,1812,3078
"BCAR3",548,646,694,815,782,455,842,771,436,752,422,662,862,652,352,1107,651,568,799,1003
"CEP152",43,202,189,131,82,156,206,194,64,167,67,105,382,157,154,211,137,144,212,198
"ANAPC16",2578,2462,4151,2637,3310,1539,3167,2468,1322,2534,1515,1629,3000,2040,2728,2851,2121,2373,1948,5428
"TP53I3",173,118,265,146,273,76,211,209,87,215,91,169,202,153,86,233,187,52,308,417
"SASH1",1576,6951,3968,5701,2897,2503,7714,6435,2584,3853,1756,2510,4656,5722,5144,7558,4738,3115,4953,5936
"ZNF69",75,90,133,96,127,47,154,91,44,73,61,60,121,96,70,133,65,106,35,130
"DNAJB6",4923,3639,7108,5737,5086,3224,5718,5119,4950,5975,4882,6879,8209,5577,4792,4038,5306,6977,4498,9385
"KIAA1958",393,873,918,1037,336,442,1049,1008,430,656,260,466,1045,746,1426,842,571,534,603,664
