"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD"
"RCC1",154,187,158,162,197,78,164,158,111,301,144,153
"CCDC102A",57,71,93,54,103,27,51,61,66,142,68,48
"C21orf62",62,88,71,100,48,150,78,143,65,95,129,73
"CCDC151",75,154,122,122,194,49,122,54,99,327,74,75
"DDIT4",1368,1773,1471,1549,3399,1307,3141,1558,1919,2487,1735,2156
"ITGA10",133,150,254,208,176,84,251,161,135,277,206,132
"ANKRD37",65,88,36,57,182,58,172,60,51,175,56,111
"COL8A2",154,55,66,66,72,138,224,121,44,99,179,71
"REP15",26,30,40,39,46,12,21,20,33,50,17,34
"NUPR1",406,824,256,586,580,462,306,200,162,1087,352,143
"FZD7",131,253,134,96,195,120,781,76,105,159,189,133
"TLDC2",33,19,18,37,47,43,44,103,66,26,44,45
"FKBP5",1603,1767,2041,1539,1459,2343,1362,2406,2102,1136,1935,1560
"SLC38A2",2778,1833,2589,3138,2517,2473,2361,2038,1715,2641,3105,1898
"CLDN7",7,12,10,12,8,7,15,12,13,11,32,8
"PRKX",288,426,353,303,543,335,406,655,660,382,501,387
"SLC5A3",2600,3243,2404,2742,3768,710,1757,807,940,3634,1729,1953
"CCNA2",47,125,60,76,73,32,93,62,39,118,64,80
"C6orf118",32,67,32,31,41,27,25,25,27,43,30,43
"SPINT1",24,12,26,18,15,8,79,18,38,25,30,13
"SMTN",592,494,575,751,1120,268,1484,506,585,1458,585,478
"SAMD11",42,38,74,129,63,45,113,149,51,70,109,57
"KLF15",880,964,1032,993,1150,1088,1003,1617,1138,1307,1186,705
"HIF3A",1344,1156,1880,1449,2910,711,2535,1759,1906,1363,2007,1412
"ALOX15B",51,80,27,36,44,159,27,58,53,55,140,44
"LOC101927354",4,39,23,23,8,9,10,19,24,10,22,16
"CYP39A1",17,61,28,28,71,14,44,30,20,68,24,17
"LINC01108",10,4,7,15,16,7,8,1,6,16,10,7
"SCGN",12,6,4,9,5,4,19,6,7,2,20,14
"LMNTD2",31,43,40,32,45,15,175,31,44,85,49,19
"LBX2",20,11,14,26,27,27,49,25,14,38,23,24
"GNRH1",42,41,45,52,47,40,83,80,29,47,103,35
"S100A4",95,27,120,63,25,26,37,51,19,52,82,31
"ADAMTS2",302,319,229,577,153,222,139,98,382,533,138,468
"AKR1C2",95,167,98,119,31,27,98,46,76,57,33,61
"LCN6",2,3,20,5,15,8,15,14,7,11,3,8
"AZGP1",257,153,134,402,73,194,180,545,338,88,126,154
"SLC23A3",14,10,25,7,14,11,69,24,14,33,26,12
"OLAH",5,10,31,8,20,5,11,5,17,10,9,7
"CXCR2",4,29,119,10,39,14,19,15,19,29,38,4
"SH2D3A",14,15,11,9,24,6,14,40,15,23,28,6
"CXCR1",7,22,97,15,31,7,14,26,22,24,41,2
"SERPINA5",67,52,28,69,57,179,27,22,19,25,46,41
"LINC01134",7,12,9,6,11,0,8,4,3,25,19,3
"LINC00463",26,14,14,31,8,32,10,71,18,18,69,27
"LINC01068",10,10,6,4,6,0,3,5,5,1,2,18
"CYP4B1",6,12,31,9,5,4,25,19,13,12,9,10
"MIA",0,6,4,2,6,0,6,1,4,9,2,3
"NPC1L1",5,170,42,25,60,5,63,17,10,225,4,35
