"","P_0003","P_0006","P_0013","P_0014","P_0015","P_0016","P_0018","P_0019","P_0020","P_0021","P_0022","P_0023","P_0026","P_0027","P_0028","P_0029","P_0030","P_0031","P_0033","P_0012","P_0034","P_0063","P_0126","P_0130","P_0132","P_0133","P_0134","P_0135","P_0136"
"CCDC102A",55,207,58,77,126,66,159,58,41,74,147,243,138,71,90,68,57,83,40,27,87,60,310,101,127,237,75,195,149
"C21orf62",21,67,13,33,42,13,23,55,36,65,50,71,17,21,39,22,22,50,20,11,65,19,158,49,21,62,31,77,291
"CCDC151",292,475,170,256,350,277,409,160,213,157,256,247,359,236,265,196,198,177,54,188,391,186,679,221,251,678,266,624,221
"DDIT4",2012,5366,851,2118,1276,905,2073,938,1822,2249,1772,11535,2340,1566,2298,1799,2497,1319,1326,877,2993,2573,7718,3907,2076,5920,1207,4230,2011
"ITGA10",111,406,205,261,237,260,491,374,211,187,489,3356,726,579,422,416,352,755,58,179,515,300,522,524,335,778,296,663,885
"ANKRD37",180,744,145,268,235,285,389,181,214,283,319,941,293,210,282,286,235,171,167,272,384,885,878,1033,272,1070,397,864,196
"COL8A2",13,103,63,65,68,68,159,34,37,197,89,688,147,85,68,78,114,140,67,42,43,25,51,54,104,192,88,120,148
"REP15",11,25,3,10,24,14,26,7,6,9,14,24,19,9,6,7,8,2,5,8,40,26,54,16,38,55,8,22,22
"NUPR1",1114,2879,647,991,1913,554,788,708,516,1160,963,4391,1093,342,1227,844,733,1579,742,408,886,732,4982,2192,1813,2324,352,2643,2440
"FZD7",78,229,192,238,185,144,169,215,181,200,317,667,213,323,171,158,211,226,11,207,561,214,366,345,188,508,205,580,599
"TLDC2",16,32,37,29,17,25,50,38,47,82,43,62,55,61,50,35,60,54,24,30,53,37,56,36,30,65,38,33,58
"FKBP5",882,966,1492,2675,1074,910,2209,2064,2131,2704,1969,6345,1563,3290,2342,2128,2789,2300,491,1736,3204,1576,2425,4316,2038,4196,787,2974,3947
"SLC38A2",3254,9999,2825,5445,3897,3422,5807,2431,2602,11391,3715,8890,5098,4485,3131,3144,3649,2566,1009,4273,10203,5331,11639,4794,9340,9253,5615,6205,4334
"CLDN7",2,6,5,29,13,17,19,6,7,70,26,55,48,11,9,11,20,38,2,13,9,5,11,16,29,13,9,13,20
"PRKX",302,504,446,961,786,344,704,358,674,1932,900,721,738,517,879,739,858,743,638,413,902,590,1255,1116,833,1282,357,1128,1164
"SLC5A3",1215,3854,578,1337,1029,1027,1717,1266,547,883,1231,979,1276,879,727,786,700,504,497,1239,3160,1370,3301,939,1399,3121,1496,2756,1317
"CCNA2",102,290,100,162,166,114,314,119,129,208,117,105,157,137,164,112,151,139,57,165,387,291,515,154,240,708,121,461,202
"C6orf118",7,15,6,20,9,11,13,7,11,21,31,6,14,5,10,19,10,23,3,17,56,16,3,69,15,57,21,44,99
"SPINT1",12,8,17,28,23,50,35,14,28,52,35,85,44,40,24,27,19,70,13,32,48,6,19,25,19,19,58,67,22
"SMTN",1347,4583,662,1876,2390,1045,2309,1088,851,1153,2664,2201,3821,963,1400,1139,1271,1430,355,488,2540,1016,4280,1551,1988,3477,893,3633,1945
"SAMD11",56,103,74,147,222,72,76,90,122,305,170,900,103,18,92,73,80,216,86,24,170,64,326,147,148,153,69,246,127
"KLF15",687,1582,807,1678,1598,806,1635,739,1379,1912,1547,1626,1433,954,1518,1323,1329,886,566,740,2224,1209,3030,2246,1523,2590,691,2969,2008
"HIF3A",1744,2667,2099,4327,2845,2383,4567,911,2894,969,4089,4941,4039,2911,3304,2784,3773,2729,517,1378,5570,2871,3913,3055,2241,3718,1134,3087,2644
"ALOX15B",31,23,23,113,7,91,86,52,169,63,51,405,95,160,84,74,108,70,49,171,86,78,20,130,52,134,166,75,46
"LOC101927354",3,21,4,9,16,8,23,4,8,14,3,10,9,7,13,13,12,5,12,6,43,16,6,12,10,6,12,44,8
"CYP39A1",23,103,23,38,26,28,74,30,29,47,30,98,55,21,34,24,21,29,20,27,78,78,123,75,55,218,65,65,96
"LINC01108",18,70,1,2,9,0,5,0,2,13,3,0,38,1,1,0,1,0,0,1,31,0,17,0,20,0,2,3,1
"SCGN",53,25,27,43,19,22,36,23,48,6,15,52,25,37,20,21,73,41,1,74,203,44,30,126,69,61,61,32,116
"LMNTD2",33,62,29,60,53,42,53,27,33,49,38,321,69,31,35,25,39,67,12,9,57,14,62,52,41,29,37,60,40
"LBX2",9,33,9,8,17,3,15,4,10,44,14,5,21,4,16,12,11,5,4,7,5,8,35,1,3,23,0,24,4
"GNRH1",81,116,64,83,103,90,173,59,77,118,86,142,106,111,109,82,121,97,32,79,251,283,264,146,148,244,91,224,123
"S100A4",29,96,29,89,78,23,138,25,58,300,92,789,127,40,128,92,22,110,43,34,182,38,387,145,244,366,58,168,147
"ADAMTS2",395,355,290,349,232,395,306,65,299,84,126,420,181,343,224,176,186,325,18,209,446,140,176,250,100,227,261,238,152
"AKR1C2",180,120,164,273,175,500,142,64,287,194,134,1891,146,334,109,106,160,254,9,173,565,155,362,234,319,314,391,224,335
"LCN6",4,18,18,9,5,4,7,57,6,1,17,59,45,38,28,30,13,2,6,21,27,4,25,54,33,22,7,32,27
"AZGP1",204,230,341,838,728,123,611,82,909,2635,369,262,354,225,656,535,1716,296,99,448,1005,237,1662,1819,2140,336,103,673,416
"SLC23A3",10,81,8,23,18,16,47,17,17,30,42,44,57,20,33,28,28,11,13,6,19,20,66,20,28,78,12,62,56
"OLAH",14,19,11,34,10,10,28,10,6,15,40,243,44,31,31,16,17,18,0,15,41,19,23,36,39,45,23,36,46
"CXCR2",3,2,1,0,2,1,16,5,5,4,5,10,12,5,1,2,1,3,4,4,7,7,7,56,6,34,4,3,13
"SH2D3A",5,7,5,12,5,9,16,2,8,8,33,33,25,2,12,7,11,15,6,3,22,0,15,13,10,17,13,22,12
"CXCR1",0,1,0,1,2,0,11,2,4,0,2,21,9,9,5,4,1,0,3,9,5,17,22,48,6,37,0,4,27
"SERPINA5",3,43,11,100,33,2,11,65,20,99,19,17,22,25,30,14,91,60,6,7,55,28,214,125,108,20,4,68,105
"LINC01134",19,31,9,8,19,16,21,8,8,22,15,13,14,10,18,3,8,7,10,11,2,12,43,15,25,31,7,29,10
"LINC00463",13,68,28,32,24,26,155,68,31,387,81,52,87,33,48,19,61,25,49,28,45,44,153,130,282,84,39,150,59
"LINC01068",3,10,2,3,2,2,4,2,5,13,7,3,1,1,2,2,6,1,5,0,0,27,17,0,3,25,3,6,6
"CYP4B1",7,4,6,17,9,14,9,7,19,18,17,241,41,29,23,20,19,72,0,26,35,10,7,52,41,53,11,54,68
"MIA",6,28,1,6,11,0,14,1,5,15,3,0,11,3,5,10,4,1,6,3,21,4,12,2,10,22,0,29,8
"NPC1L1",16,199,5,16,41,9,41,41,17,27,28,23,77,5,26,32,10,41,46,1,38,12,132,14,5,128,3,169,24
