,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
514,CCNI2,113.201287,0.726278179,0.199466242,3.641108248,0.000271467,0.009342316
1363,NKD1,546.4151602,0.727011242,0.228703761,3.178833787,0.001478689,0.026483826
1612,HOMER3,327.1647415,0.727788781,0.185751779,3.918071665,8.93E-05,0.004624905
1595,KANK2,770.5973024,0.72852512,0.199590456,3.650099984,0.000262138,0.009157275
1169,GDF11,780.9569055,0.729847853,0.210702591,3.463876971,0.00053245,0.014707608
1473,TIAF1,75.40751329,0.730731375,0.220139932,3.319394937,0.000902127,0.019597779
1514,SNORA38B,42.39316025,0.731399188,0.22865692,3.198675065,0.001380607,0.02541267
128,LOC100996251,60.91805346,0.732844975,0.174359343,4.203072598,2.63E-05,0.002155323
1532,ZNF750,144.7525137,0.733206661,0.234428304,3.127637093,0.001762176,0.029878198
477,PCDHGA1,72.89796719,0.734476712,0.166903148,4.400616279,1.08E-05,0.001210306
1655,LINC01530,58.58503663,0.735400952,0.148331186,4.957830998,7.13E-07,0.000206478
1271,NFKBIA,885.912886,0.738205778,0.119860034,6.158898457,7.33E-10,1.65E-06
1331,HSP90AB4P,86.98364966,0.738934616,0.202589783,3.64744266,0.000264863,0.009221579
1114,ADIPOR2,1705.141976,0.739262545,0.255246636,2.896267534,0.003776303,0.04646301
1627,CATSPERG,107.3499392,0.740160186,0.23428183,3.159272689,0.001581634,0.027741785
1663,TPM3P9,129.7790477,0.741075059,0.213401202,3.472684564,0.000515281,0.014541511
123,CSF1,657.1609174,0.741088024,0.191761298,3.864638129,0.000111254,0.005333799
1356,ABCC6,51.47651122,0.741840562,0.259952016,2.853759605,0.004320521,0.049947044
86,LOC101928324,22.92533208,0.742133376,0.253136707,2.931749348,0.003370587,0.043823931
633,TCTE3,41.05218655,0.743498667,0.157826714,4.710854395,2.47E-06,0.000459332
234,RFTN2,886.6102336,0.743601748,0.215828581,3.445334931,0.000570352,0.015192028
