,AD,,PD,,HD,
,lfc,p-adjusted,lfc,q,lfc,q
PXDC1,0.529730905,0.046734879,0.907236726,1.63E-05,0.647422294,0.007271476
MXI1,0.531556029,0.016220157,0.409403837,0.000460856,0.480269074,0.000210918
PAPOLA,0.537819524,0.039503398,0.293756726,0.003546039,0.431872573,9.24E-06
GKAP1,0.539282845,0.001956671,0.413436292,0.001706056,0.458583413,0.000522594
PDE4DIP,0.539336192,0.002320106,0.288828022,0.006534325,0.502233914,5.36E-05
SMAD4,0.54382128,0.000353645,0.225480466,0.017171483,0.399987291,0.00041137
TSC22D3,0.543924248,0.001088141,0.448935769,0.000391497,0.842306255,1.13E-07
ID3,0.55235999,0.039581153,0.983824196,6.70E-05,1.105403646,5.75E-05
LATS2,0.553137106,0.04712605,0.797020506,5.96E-05,0.797025302,0.000950884
CARD8,0.553401891,0.007274465,0.439901851,0.002094774,0.449292544,0.015533789
BANP,0.56221448,0.03270617,0.545695194,3.49E-07,0.258126683,0.038555602
TIMELESS,0.562978494,0.005778023,0.606371095,0.000220663,0.407672883,0.028239679
SH2D4A,0.563788215,0.020150915,0.695953993,0.000693397,0.571595729,0.011397361
CALML4,0.564173443,0.02586332,0.568487951,0.000987373,0.497326592,0.029804153
ITGB8,0.566340457,0.031716487,0.403646691,0.031258716,0.617729224,0.005935064
CDK2AP1,0.574371238,0.006442266,0.45330145,7.84E-05,0.320392055,0.018768278
RBM48,0.578440503,0.00029793,0.361840962,0.004490441,0.61405382,2.55E-05
ITGB5,0.587265853,0.023403117,0.691190774,3.99E-06,0.371330097,0.048470913
GMPR,0.60182866,0.027221455,0.786449084,0.00254075,0.803128659,0.012467498
RNASEH2C,0.601849112,0.000129808,0.464734925,3.59E-05,0.432581761,0.001682809
BCAR3,0.603885032,0.028388319,0.552005155,0.000308194,0.440857008,0.008575715
CEP152,0.604213611,0.0166428,0.431814019,0.003210595,0.548501203,0.002507982
ANAPC16,0.612003902,1.07E-05,0.52189831,3.35E-06,0.621973783,1.61E-07
TP53I3,0.619684775,0.009662326,0.58261019,0.000247631,0.806282789,7.44E-06
SASH1,0.620986264,0.005096086,0.591845172,4.59E-05,0.55826374,0.002283434
ZNF69,0.628230731,0.023023893,0.497384995,0.000680793,0.454185024,0.008182854
DNAJB6,0.634239368,0.016727649,0.24864914,0.020848638,0.365272619,7.87E-05
KIAA1958,0.645619169,0.001210306,0.472111244,0.003039265,0.444717154,0.036611076
POGK,0.65522284,0.000601473,0.294147249,0.006605162,0.25017725,0.047686204
ARL6IP6,0.657660679,0.00015988,0.356910984,0.003552028,0.453539145,0.0051389
WEE1,0.659011816,0.009252569,0.54656698,0.03316219,0.947235623,0.00181838
HSPB2,0.66267479,0.019718981,0.696172821,8.20E-06,0.524546913,0.012858092
IL17RB,0.666996294,0.015192028,0.979769723,2.97E-08,1.152693935,1.25E-08
CDKN2C,0.67587655,0.001754334,0.853218155,4.56E-06,0.556113083,0.003024663
SLC39A11,0.680538634,0.002619024,0.647153796,4.52E-05,0.419353085,0.030039465
NYNRIN,0.681251993,0.038264763,0.520781524,0.000251508,0.451450486,0.00376232
STARD10,0.693833852,8.54E-05,0.713358462,5.91E-08,0.544653972,0.00181838
SNRNP48,0.70207326,0.000382625,0.36327186,0.002521204,0.50201824,0.000150469
MEX3A,0.702164218,0.046078916,0.913084104,3.37E-06,0.583160169,0.020056936
FZD9,0.705844201,0.010454815,0.952769801,5.46E-07,0.651070251,0.001480927
ANO2,0.709771674,0.037039547,0.988135823,9.19E-06,1.029822734,2.39E-05
ITGA11,0.716717195,0.028405564,0.313333407,0.033537486,0.383548882,0.016297985
RND2,0.721008428,0.008564862,0.288784537,0.008871189,0.262113717,0.021361353
KANK2,0.72852512,0.009157275,0.899290792,1.56E-05,1.088484748,1.01E-05
NFKBIA,0.738205778,1.65E-06,0.837548219,3.83E-07,1.0975264,3.32E-12
RFTN2,0.743601748,0.015192028,0.669027903,0.001574622,0.564220905,0.027748081
PROC,0.744423444,0.004624905,0.520294714,0.001240891,-0.50271892,0.027141946
TLR5,0.767060694,0.049006271,1.199053483,2.53E-07,1.103473159,5.70E-06
TRIP10,0.771567542,0.021467969,1.287689749,2.22E-08,1.082286978,1.96E-05
CPQ,0.774476497,0.005920704,0.680233791,0.000111285,0.607220626,0.001954596
JMJD6,0.778115627,0.025948828,0.940090171,1.28E-08,0.508567698,0.000385873
SAMHD1,0.786722089,0.007041647,0.466897206,0.000170844,0.499078683,0.000236151
ATOH8,0.796569436,0.007495396,1.166916505,6.86E-06,0.800124811,0.007973891
SPDYA,0.829019228,0.011766242,0.309251726,0.024985937,0.354288446,0.031224772
